Country,LanguageHaveWorkedWith,LanguageWantToWorkWith,ConvertedCompYearly,WorkExp,RemoteWork,AISelect
Brazil,,,,15.0,In-person,"Yes, I use AI tools weekly"
Brazil,,,637.0,1.0,In-person,"Yes, I use AI tools daily"
Brazil,,,21844.0,19.0,In-person,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;TypeScript,19114.0,7.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Python,Rust,21844.0,17.0,In-person,"No, but I plan to soon"
Brazil,C#;HTML/CSS;JavaScript;PowerShell;Python;Ruby;SQL;Swift;TypeScript,Elixir;Erlang;Go;HTML/CSS;JavaScript;Ruby;Rust;TypeScript,41868.0,10.0,Remote,"Yes, I use AI tools weekly"
Brazil,Java;Ruby;SQL,Ruby;SQL,33677.0,13.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools weekly"
Brazil,C#;HTML/CSS;Java;PHP;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),,5461.0,5.0,In-person,
Brazil,,,,,,"No, but I plan to soon"
Brazil,,,55000.0,9.0,Remote,"Yes, I use AI tools daily"
Brazil,,,43689.0,15.0,"Your choice (very flexible, you can come in when you want or just as needed)","Yes, I use AI tools weekly"
Brazil,C#;HTML/CSS;JavaScript;SQL,Kotlin;PowerShell;Prolog;Python,174755.0,23.0,,"Yes, I use AI tools daily"
Brazil,Java,C#;Java,45509.0,17.0,Remote,"No, but I plan to soon"
Brazil,Bash/Shell (all shells);Go;SQL;TypeScript,Bash/Shell (all shells);Go;Lua;Python;Rust;SQL;TypeScript,14199.0,4.0,"Your choice (very flexible, you can come in when you want or just as needed)",
Brazil,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;SQL;TypeScript,75000.0,20.0,Remote,"Yes, I use AI tools weekly"
Brazil,C;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,C;C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,,,,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Lua;SQL;TypeScript,,131066.0,17.0,,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;Python;SQL,Elixir;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL,127426.0,20.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C;C++;HTML/CSS;JavaScript;Python,Go;MicroPython;TypeScript,43689.0,25.0,"Your choice (very flexible, you can come in when you want or just as needed)","Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);Elixir;Go;HTML/CSS;JavaScript;PHP;Python;Ruby;Rust;SQL;Swift;TypeScript,110000.0,20.0,Remote,
Brazil,,,18204.0,4.0,Remote,"Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;PHP;TypeScript,Go,10922.0,3.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C;Delphi;HTML/CSS;Lua;Python;SQL,Bash/Shell (all shells);C;Go;Lua;Python;SQL,52427.0,1.0,Remote,"Yes, I use AI tools monthly or infrequently"
Brazil,Bash/Shell (all shells);C;Go;JavaScript;Lua;Python;Rust;SQL,Bash/Shell (all shells);C;Go;JavaScript;Python;Rust;SQL,154731.0,10.0,Remote,"Yes, I use AI tools monthly or infrequently"
Brazil,Assembly;Bash/Shell (all shells);C,Assembly;C;Go,45509.0,32.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);C;Fortran;HTML/CSS;Python;R;SQL,Bash/Shell (all shells);C;Go;HTML/CSS;Python;Rust;SQL;Mojo,39320.0,9.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools daily"
Brazil,Java;Python;Ruby;SQL,Elixir;Erlang;JavaScript;OCaml;SQL;TypeScript;Gleam,7646.0,5.0,Remote,"Yes, I use AI tools daily"
Brazil,Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Scala,21844.0,20.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Rust;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Rust;SQL;TypeScript,66128.0,12.0,Remote,"Yes, I use AI tools monthly or infrequently"
Brazil,HTML/CSS;JavaScript;PHP;SQL,,,,,"No, and I don't plan to"
Brazil,C#;Python,C#;Elixir;Python,41941.0,17.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Kotlin;Ruby;Swift;TypeScript,Bash/Shell (all shells);JavaScript;Kotlin;Ruby;Swift;TypeScript,122000.0,10.0,,"Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;PHP;SQL,HTML/CSS;JavaScript;Kotlin;PHP;Python;SQL,7281.0,5.0,In-person,"Yes, I use AI tools daily"
Brazil,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;Go;HTML/CSS;JavaScript;Kotlin;Python;SQL;TypeScript,21844.0,25.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools monthly or infrequently"
Brazil,Elixir;Erlang;HTML/CSS;Lua;Python;Ruby,Elixir;Erlang;Lua;Rust;Zig,101941.0,16.0,Remote,"Yes, I use AI tools daily"
Brazil,,,,7.0,,"Yes, I use AI tools daily"
Brazil,,,91018.0,8.0,Remote,
Brazil,,,2184.0,6.0,In-person,"Yes, I use AI tools daily"
Brazil,C#;Elixir;HTML/CSS;JavaScript,Elixir,32767.0,4.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Dart;GDScript;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);Dart;GDScript;HTML/CSS;JavaScript;SQL;TypeScript,89198.0,12.0,Remote,"Yes, I use AI tools daily"
Brazil,,,,11.0,Remote,"Yes, I use AI tools daily"
Brazil,Elixir;HTML/CSS;JavaScript;SQL;TypeScript,Go;Rust;SQL;Zig;Gleam,30582.0,5.0,Remote,"Yes, I use AI tools daily"
Brazil,Java;TypeScript,Bash/Shell (all shells);Java;Python;TypeScript,,4.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools monthly or infrequently"
Brazil,C#,C#;Go,41868.0,10.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;PHP;SQL;TypeScript,Go;HTML/CSS;JavaScript;Lua;PHP;SQL,12014.0,19.0,Remote,"Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;PHP;Ruby;SQL,,21844.0,15.0,,"Yes, I use AI tools daily"
Brazil,,,,4.0,In-person,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;SQL;TypeScript,Bash/Shell (all shells);C++;Go;JavaScript;Lua;Python;TypeScript,36000.0,8.0,Remote,"Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;SQL;TypeScript,96000.0,10.0,,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,,15619.0,3.0,"Hybrid (some remote, leans heavy to in-person)","No, and I don't plan to"
Brazil,Dart;Go;Swift,Swift,69174.0,15.0,Remote,"Yes, I use AI tools daily"
Brazil,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,32767.0,5.0,Remote,"Yes, I use AI tools daily"
Brazil,Go;JavaScript;Python;SQL,Python,150000.0,21.0,Remote,"Yes, I use AI tools weekly"
Brazil,,,16383.0,4.0,Remote,"Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,210252.0,20.0,Remote,"No, and I don't plan to"
Brazil,Bash/Shell (all shells);Python,Bash/Shell (all shells);Dart;Python,11832.0,3.0,Remote,"Yes, I use AI tools daily"
Brazil,C#;Java;PHP;Python;TypeScript,C#;Go;Java;Rust;TypeScript,,,,"Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,18349.0,8.0,Remote,"No, and I don't plan to"
Brazil,HTML/CSS;Java;JavaScript;SQL,TypeScript,24029.0,9.0,"Hybrid (some remote, leans heavy to in-person)","No, and I don't plan to"
Brazil,HTML/CSS;JavaScript;Python;SQL,Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,15510.0,20.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools daily"
Brazil,Assembly;C;C++;MATLAB;Python,,,28.0,,"Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;SQL;TypeScript,87378.0,25.0,,"Yes, I use AI tools weekly"
Brazil,Delphi,,,1.0,In-person,"Yes, I use AI tools daily"
Brazil,Java;JavaScript;Kotlin;Ruby;SQL;TypeScript,Elixir;JavaScript;Kotlin;Ruby;SQL;TypeScript,82000.0,5.0,Remote,"Yes, I use AI tools daily"
Brazil,SQL,,3641.0,16.0,Remote,
Brazil,Bash/Shell (all shells);JavaScript;PowerShell;SQL;TypeScript,Bash/Shell (all shells);JavaScript;PowerShell;SQL;TypeScript,18204.0,9.0,Remote,"Yes, I use AI tools daily"
Brazil,Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Java;MicroPython;R;Rust,17082.0,5.0,Remote,"Yes, I use AI tools monthly or infrequently"
Brazil,,,26213.0,13.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript,,,,,"No, and I don't plan to"
Brazil,,,10922.0,2.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools daily"
Brazil,,,5461.0,2.0,In-person,"No, and I don't plan to"
Brazil,Python;TypeScript,TypeScript,131066.0,19.0,Remote,"Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,145629.0,22.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;VBA,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,27306.0,23.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C;Elixir;Go;Java;Kotlin;Lisp;Lua;Python;Rust;SQL,Elixir;Kotlin;Lisp;Lua;Python;Rust;Zig;Gleam,43734.0,7.0,Remote,"No, and I don't plan to"
Brazil,Bash/Shell (all shells);C;C#;Go;Lua,C;C++;Lua,,,,"Yes, I use AI tools monthly or infrequently"
Brazil,Elixir;HTML/CSS;Kotlin;Python;TypeScript,Kotlin,145629.0,15.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C;C++;Erlang;F#;Java;Lua;OCaml;PowerShell;Python;Rust;SQL;Zig;Gleam,Ada;Assembly;Bash/Shell (all shells);C;C++;Elixir;Erlang;F#;Lisp;Lua;OCaml;Rust;SQL;Zig;Gleam,66000.0,7.0,Remote,"No, and I don't plan to"
Brazil,Ada;Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Lisp;Lua;PowerShell;Prolog;Python;Rust;SQL;VBA,Ada;Assembly;Elixir;Erlang;F#;Lisp;Prolog,5097.0,4.0,In-person,"No, and I don't plan to"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Assembly;Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Lisp;Lua;PHP;Python;SQL;TypeScript,54611.0,25.0,,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;R;SQL,,45509.0,10.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools daily"
Brazil,C#;Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript;Visual Basic (.Net),C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,45509.0,25.0,Remote,"Yes, I use AI tools daily"
Brazil,Java;JavaScript;Kotlin;PHP;Python;TypeScript,Java;JavaScript;Python;TypeScript,27306.0,15.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools daily"
Brazil,,,109222.0,27.0,Remote,"Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;TypeScript,Elixir;Go;JavaScript;Ruby;Scala;TypeScript,18204.0,6.0,Remote,"Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;Python;R;SQL,HTML/CSS;JavaScript;Python;R;SQL,85557.0,18.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools monthly or infrequently"
Brazil,,,,,,"Yes, I use AI tools daily"
Brazil,,,,1.0,Remote,"No, and I don't plan to"
Brazil,Bash/Shell (all shells);C++;HTML/CSS;Java;JavaScript;Python,HTML/CSS;Java;JavaScript,,20.0,,"Yes, I use AI tools monthly or infrequently"
Brazil,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;SQL,HTML/CSS;JavaScript;SQL,21844.0,4.0,In-person,"Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;SQL;TypeScript,Python;SQL,13107.0,10.0,"Your choice (very flexible, you can come in when you want or just as needed)","Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Python;SQL,Bash/Shell (all shells);Python;SQL,121965.0,6.0,Remote,"Yes, I use AI tools monthly or infrequently"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;R;SQL,C;Rust,,,,"Yes, I use AI tools weekly"
Brazil,,,85557.0,17.0,"Hybrid (some remote, leans heavy to in-person)",
Brazil,Python,Rust,,22.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Lua;PHP;Python;SQL,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Lua;MicroPython;Python;Rust;SQL,43689.0,25.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;PHP;Python;SQL,Go;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,11811.0,4.0,In-person,"Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,,,2.0,,"Yes, I use AI tools daily"
Brazil,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;C++;HTML/CSS;JavaScript;SQL;TypeScript,22755.0,10.0,Remote,"Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);C#;C++;Groovy;HTML/CSS;JavaScript;PowerShell;Python;SQL,Bash/Shell (all shells);C#;Groovy;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,41868.0,18.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C#;JavaScript;PowerShell;Python;SQL;TypeScript,Rust,33859.0,8.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C#;HTML/CSS;Python;SQL,C#;HTML/CSS;Python;SQL,,5.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;Python,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,18568.0,2.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools weekly"
Brazil,C#;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;Ruby;SQL;TypeScript,C#;PowerShell;SQL,,,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools monthly or infrequently"
Brazil,Bash/Shell (all shells);HTML/CSS;Python;R;Ruby;Rust,HTML/CSS;Python;Rust,,,,"Yes, I use AI tools daily"
Brazil,Prolog;Python;R;SQL,,,1.0,In-person,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Go;Java;Kotlin,Assembly;C;Go;Java;Python;Rust;Zig,,24.0,Remote,"Yes, I use AI tools daily"
Brazil,C#;Elixir;Go;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,Elixir;Rust;SQL;TypeScript,54611.0,14.0,,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C;C++;Delphi;HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript,Python,65533.0,35.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;SQL,Bash/Shell (all shells);C;C++;GDScript;Go;JavaScript;Lua;Rust;SQL;Swift;TypeScript,6881.0,3.0,,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;Ruby;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript,14563.0,2.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools daily"
Brazil,C++;Delphi,C++;Delphi,18204.0,30.0,,"Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;SQL;TypeScript,50242.0,11.0,,"Yes, I use AI tools weekly"
Brazil,Lua;PowerShell;Python;SQL;Gleam,C;Rust,4733.0,3.0,In-person,"Yes, I use AI tools monthly or infrequently"
Brazil,Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;Java;Scala;SQL;TypeScript,10922.0,2.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools daily"
Brazil,Assembly;C;C++;HTML/CSS;Python;Gleam,Assembly;COBOL;Rust,,,,"Yes, I use AI tools daily"
Brazil,HTML/CSS;Java;SQL;TypeScript,HTML/CSS;Java;Kotlin;TypeScript,30946.0,16.0,"Your choice (very flexible, you can come in when you want or just as needed)","Yes, I use AI tools monthly or infrequently"
Brazil,Assembly;Bash/Shell (all shells);C#;Delphi;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);C#;GDScript;Go;HTML/CSS;JavaScript;Kotlin;MicroPython;PowerShell;Python;Rust;SQL;TypeScript,21844.0,25.0,Remote,"Yes, I use AI tools daily"
Brazil,C++;Go;HTML/CSS;JavaScript;Kotlin;TypeScript,Go;HTML/CSS;JavaScript;TypeScript,5461.0,1.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C#;C++;HTML/CSS;Java;JavaScript;Lua;PHP;Python;TypeScript,Go,12014.0,4.0,,"Yes, I use AI tools daily"
Brazil,Dart;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,,24029.0,6.0,Remote,"Yes, I use AI tools daily"
Brazil,C#,C#;F#;Ruby;Rust,,,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;SQL;TypeScript,Bash/Shell (all shells);Java;JavaScript;Kotlin;Scala;SQL;TypeScript,61164.0,20.0,Remote,"Yes, I use AI tools daily"
Brazil,Java;JavaScript;Kotlin;Python;SQL;TypeScript,Dart;Elixir;Go;Java;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,54611.0,18.0,"Your choice (very flexible, you can come in when you want or just as needed)","Yes, I use AI tools daily"
Brazil,C++;HTML/CSS;Java;Python;SQL,,25795.0,2.0,"Your choice (very flexible, you can come in when you want or just as needed)","Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,Bash/Shell (all shells);C#;Python;TypeScript,,13.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;Lisp;SQL,Bash/Shell (all shells);Elixir;Erlang;Lisp;SQL;Zig;Gleam,66261.0,15.0,Remote,"Yes, I use AI tools monthly or infrequently"
Brazil,C#;HTML/CSS;JavaScript;SQL,C#;Elixir;Erlang;Go;HTML/CSS;JavaScript;Ruby;SQL,54611.0,15.0,Remote,"Yes, I use AI tools daily"
Brazil,HTML/CSS;Java;JavaScript;Python;TypeScript,HTML/CSS;Java;JavaScript;Python;TypeScript,27306.0,34.0,Remote,"Yes, I use AI tools daily"
Brazil,C;C#;Elixir;GDScript;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;Rust;SQL;TypeScript;Gleam,C#;Elixir;Erlang;GDScript;Go;Lua;Python;Rust;SQL;TypeScript,6371.0,,In-person,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Java;JavaScript;Python;TypeScript;Gleam,Bash/Shell (all shells);Java;JavaScript;Python;TypeScript;Gleam,,5.0,Remote,"Yes, I use AI tools weekly"
Brazil,HTML/CSS;JavaScript,Go;HTML/CSS;JavaScript;Rust,42050.0,8.0,"Your choice (very flexible, you can come in when you want or just as needed)","Yes, I use AI tools daily"
Brazil,C#;HTML/CSS;JavaScript;PHP;Python;Ruby;TypeScript;VBA,C#;HTML/CSS;Python;Ruby,13016.0,14.0,In-person,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Bash/Shell (all shells);Java;Kotlin;Python;SQL,99210.0,20.0,Remote,"Yes, I use AI tools monthly or infrequently"
Brazil,Bash/Shell (all shells);C#;Groovy;HTML/CSS;JavaScript;PowerShell,Bash/Shell (all shells);C#;C++;Lua;Rust;Zig,30123.0,20.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools monthly or infrequently"
Brazil,HTML/CSS;Java;JavaScript;Python;SQL,PowerShell;TypeScript,47330.0,22.0,In-person,"Yes, I use AI tools monthly or infrequently"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP;Python;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP;Python;SQL,18204.0,16.0,"Hybrid (some remote, leans heavy to in-person)","No, and I don't plan to"
Brazil,Java;JavaScript;SQL,,,15.0,Remote,"Yes, I use AI tools daily"
Brazil,Python,,36407.0,25.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);C;C#;C++;PowerShell;Python;R;SQL;VBA,Bash/Shell (all shells);C;C#;C++;Go;Lisp;Lua;PowerShell;Python;R;SQL;Zig,54611.0,28.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools monthly or infrequently"
Brazil,C#;HTML/CSS;JavaScript;SQL,C#;Dart;Go;HTML/CSS;SQL;TypeScript,17476.0,7.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C;Go;HTML/CSS;JavaScript;Lua;Rust;SQL;TypeScript;Zig;Gleam,,110496.0,14.0,Remote,"Yes, I use AI tools daily"
Brazil,JavaScript;Python;SQL,Java;SQL,34587.0,6.0,Remote,"Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);C;Go;HTML/CSS;Java;JavaScript;Lua;PHP;Python,Go;HTML/CSS;PHP;Rust,101941.0,25.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;Java;SQL;TypeScript,10922.0,2.0,In-person,"Yes, I use AI tools daily"
Brazil,Go,Elixir,,17.0,Remote,"Yes, I use AI tools weekly"
Brazil,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,HTML/CSS;JavaScript;PHP;TypeScript,,1.0,Remote,"Yes, I use AI tools daily"
Brazil,Elixir,Elixir;Go,22573.0,6.0,,"Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;Python;TypeScript,JavaScript;MicroPython;Rust;TypeScript,15291.0,12.0,Remote,"No, and I don't plan to"
Brazil,C++;HTML/CSS;Java;JavaScript;Python;SQL,Ada;Assembly;Bash/Shell (all shells);C;C#;COBOL;Dart;Delphi;Elixir;Erlang;F#;Fortran;GDScript;Go;Groovy;Python;SQL,,,,"Yes, I use AI tools monthly or infrequently"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,Bash/Shell (all shells);PHP;SQL,51880.0,26.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools weekly"
Brazil,Delphi;PowerShell;Python;SQL,Python;SQL,6553.0,4.0,In-person,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);Groovy;HTML/CSS;JavaScript;Kotlin;PHP;Swift;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Kotlin;Lua;PHP;TypeScript,43689.0,26.0,Remote,"Yes, I use AI tools monthly or infrequently"
Brazil,,,72815.0,10.0,"Your choice (very flexible, you can come in when you want or just as needed)","Yes, I use AI tools daily"
Brazil,,,1019.0,4.0,In-person,"Yes, I use AI tools daily"
Brazil,HTML/CSS;Java;JavaScript;PHP;SQL,JavaScript;PHP;SQL,6553.0,1.0,In-person,"Yes, I use AI tools daily"
Brazil,Elixir;Erlang;Gleam,Gleam,98000.0,20.0,Remote,"Yes, I use AI tools monthly or infrequently"
Brazil,Python;SQL,Rust,4915.0,5.0,In-person,"Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Go,40412.0,15.0,Remote,"Yes, I use AI tools daily"
Brazil,C#;HTML/CSS;JavaScript;Python;Ruby;TypeScript,Ruby;TypeScript,171115.0,17.0,Remote,"Yes, I use AI tools daily"
Brazil,Assembly;Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;JavaScript;Kotlin;Lua;PHP;Python;SQL;Swift,Assembly;Bash/Shell (all shells);C;C#;C++;Go;Java;JavaScript;Kotlin;Lua;PHP;Python;Ruby;Rust;SQL,8738.0,4.0,In-person,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C#;Fortran;HTML/CSS;MATLAB;PowerShell;Python,Bash/Shell (all shells);C#;C++;Fortran;HTML/CSS;MATLAB;PowerShell;Python,27306.0,21.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools weekly"
Brazil,C;C++;Java;Python,C;C++;Python,32767.0,6.0,,"Yes, I use AI tools weekly"
Brazil,Dart;HTML/CSS;Java;JavaScript;Python;SQL,Dart;Go;HTML/CSS;Java;JavaScript;Python;Rust;SQL,17476.0,12.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools daily"
Brazil,Python;SQL;TypeScript,Elixir;Python;SQL;TypeScript,19660.0,5.0,Remote,"Yes, I use AI tools daily"
Brazil,,,78000.0,20.0,Remote,"Yes, I use AI tools daily"
Brazil,C;C++;GDScript;HTML/CSS;JavaScript;Lua;SQL;TypeScript,C;C#;C++;GDScript;Go;HTML/CSS;Lua;SQL;Zig;Gleam,,9.0,"Your choice (very flexible, you can come in when you want or just as needed)","No, and I don't plan to"
Brazil,,,,13.0,Remote,
Brazil,Bash/Shell (all shells);Python;Rust;TypeScript,,,,,"No, and I don't plan to"
Brazil,,,,4.0,,"Yes, I use AI tools daily"
